73469	3.000
113207	4.000
25945	4.500
83411	5.000
8903	3.500
3920	3.500
4026	1.000
164	3.558
4024	3.375
4022	3.469
68319	2.912
4020	3.136
26375	2.500
31270	3.500
166	3.000
26371	2.500
55290	3.786
55294	2.500
4509	3.250
5535	1.000
160	2.341
5980	3.500
5986	3.250
344	2.871
346	3.000
92309	2.500
162	4.136
3999	2.525
25965	2.000
3997	1.900
55768	2.857
3993	3.031
3991	1.818
61206	4.500
4686	1.750
116413	3.000
31737	3.250
56587	3.625
130642	3.500
116419	1.500
43871	2.667
4932	3.125
7818	2.500
26199	4.000
37731	3.650
55908	3.917
6154	1.000
6156	3.200
4682	3.667
6796	3.981
6794	2.167
4736	1.000
4680	2.000
27376	0.500
107516	3.500
2316	2.786
112460	2.000
4738	4.000
2312	3.733
2310	4.000
104283	4.500
4831	3.000
5850	0.500
1654	3.500
296	4.256
294	3.333
292	3.309
4833	4.000
290	3.938
66427	3.500
3773	2.500
59447	5.000
3771	3.250
3777	2.250
6725	5.000
3775	3.000
4835	3.188
121231	4.000
270	3.222
272	4.000
274	2.667
6358	3.833
55830	2.812
278	3.000
6587	1.000
32019	2.167
4659	4.000
4660	4.000
26157	0.500
48520	4.000
2165	3.929
962	3.000
26151	5.000
112497	1.000
1005	2.500
7889	4.500
2268	3.862
26391	2.000
104069	4.333
1371	3.053
93324	5.000
26122	3.500
52462	3.750
93320	5.000
2264	3.000
2442	4.000
2440	4.000
101947	3.500
2448	2.000
53737	0.500
113573	3.000
2514	2.125
108	4.000
30707	3.700
102	2.591
4149	2.438
100	3.429
2101	2.500
104	3.293
2046	3.824
7625	4.000
42632	3.167
2042	2.750
1003	3.000
2040	3.333
146656	4.167
6051	3.500
118334	2.000
7627	4.500
2048	3.875
6378	3.527
57504	3.833
26025	2.000
6370	3.833
39416	5.000
582	4.000
45442	3.500
45440	3.750
449	3.500
45666	2.929
4978	3.600
48560	3.750
540	2.694
57980	3.000
39414	4.333
69516	4.250
99089	4.000
44245	4.000
7786	3.500
4279	3.000
93982	2.000
96815	3.000
46865	1.750
2835	3.000
107406	3.571
60649	1.000
32444	3.250
8943	3.500
5298	3.333
8947	2.769
3513	3.286
7782	3.500
3511	2.000
1210	4.060
3515	3.400
6204	2.500
2688	3.242
6800	3.000
3852	3.667
2686	3.818
45208	1.500
2682	4.375
8958	3.952
3391	3.333
112138	3.875
108715	1.500
342	3.438
6808	2.375
71535	3.635
65037	5.000
71823	2.500
47950	2.833
71533	3.000
99	2.750
134859	3.500
3560	4.000
6703	3.500
57353	4.250
96811	4.000
3395	2.800
93	2.227
162672	3.000
104841	3.741
32525	5.000
97	3.875
3207	3.000
94677	3.500
3205	3.000
1627	2.864
3397	3.450
1625	3.921
1999	2.667
348	3.938
1629	3.400
1377	3.086
4912	3.500
45062	2.250
8839	2.500
70488	3.500
8835	1.500
4974	2.923
112556	3.720
53133	2.500
8831	2.500
3010	4.500
8833	3.875
2860	3.300
116136	2.500
2862	3.125
3696	4.333
2864	2.750
2866	3.750
555	3.886
99609	4.500
551	3.650
553	3.482
5054	3.667
54372	4.500
34002	2.500
31973	5.000
7272	2.500
41569	3.283
80599	4.500
1199	4.032
34338	4.000
94833	2.833
7078	3.500
6990	4.000
3342	4.000
1193	4.257
7070	3.750
1197	4.209
4976	3.000
44421	4.000
1757	3.500
83613	2.312
1753	3.000
112749	2.000
156387	4.000
1177	3.769
102252	4.500
1175	4.167
1173	3.211
1171	3.581
4251	4.000
31696	3.240
51773	3.000
4255	1.714
7209	3.667
1179	3.850
3579	2.333
511	3.000
5531	2.500
67695	2.500
4523	3.500
89761	3.500
34332	3.458
27611	3.429
136592	1.500
158314	4.500
1287	3.891
58365	4.000
1281	4.043
1593	2.786
106438	4.083
34334	2.125
136598	2.500
106920	4.080
8765	4.000
3430	2.571
548	3.000
109846	3.000
47815	0.500
72129	3.250
685	3.125
687	3.000
681	3.000
31700	2.500
7186	3.500
458	3.750
72701	2.750
